Title ID,Title,Genre,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,IMDb Votes,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,,,,
1,Lets Fight Ghost,Crime,"Swedish, Spanish",Series,4.3,Thailand,< 30 minutes,Tomas Alfredson,"Kåre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl",7.9,98,205926,74,57,"$2,122,065 ",3/4/2021,,,,
2,HOW TO BUILD A GIRL,Comedy,English,Movie,7,Canada,1-2 hour,Coky Giedroyc,"Paddy Considine, Cleo, Beanie Feldstein, Dónal Finn",5.8,79,2838,1,,"$70,632 ",3/4/2021,,,,
3,Centigrade,Drama,English,Movie,6.4,Canada,1-2 hour,Brendan Walsh,"Genesis Rodriguez, Vincent Piazza",4.3,,1720,,,"$16,263 ",3/4/2021,,,,
4,ANNE+,Drama,Turkish,Series,7.7,"Belgium,Netherlands",< 30 minutes,,"Vahide Perçin, Gonca Vuslateri, Cansu Dere, Beren Gokyildiz",6.5,,1147,1,,,3/4/2021,,,,
5,Moxie,Animation,English,Movie,8.1,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Argentina,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,South Korea,United States,Russia",1-2 hour,Stephen Irwin,Ragga Gudrun,6.3,,63,,4,,3/4/2021,,,,
6,The Con-Heartist,Comedy,Thai,Movie,8.6,Thailand,> 2 hrs,Mez Tharatorn,"Thiti Mahayotaruk, Nadech Kugimiya, Kathaleeya McIntosh, Pimchanok Leuwisetpaiboon",7.4,,131,,,,3/3/2021,,,,
7,Gleboka woda,Drama,Polish,Series,8.7,Poland,< 30 minutes,,"Marcin Dorocinski, Piotr Nowak, Julia Kijowska, Katarzyna Maciag",7.5,,47,2,4,,3/3/2021,,,,
8,Instynkt,Crime,Polish,Series,6.9,Poland,< 30 minutes,,"Pawel Królikowski, Szymon Bobrowski, Danuta Stenka, Piotr Glowacki",3.9,,107,,,,3/3/2021,,,,
9,Only a Mother,Drama,Swedish,Movie,8.3,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Switzerland,United Kingdom,Iceland,Czech Republic",1-2 hour,Alf Sjöberg,"Ulf Palme, Ragnar Falck, Hugo Björne, Eva Dahlbeck",6.7,,88,2,1,,3/3/2021,,,,
10,Snowroller,Comedy,"Swedish, English, German, Norwegian",Movie,5.3,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Lasse Åberg,"Jon Skolmen, Cecilia Walton, Lasse Åberg, Eva Millberg",6.6,,5926,,,,3/3/2021,,,,
11,Sunes Summer,Fantasy,Swedish,Movie,7.5,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Jon Holmberg,"Elis Gerdt, Tea Stjärne, Fredrik Hallgren, Baxter Renman",5.5,,560,,7,,3/3/2021,,,,
12,The Invisible,Crime,English,Movie,2,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,David S. Goyer,"Marcia Gay Harden, Chris Marquette, Margarita Levieva, Justin Chatwin",6.2,20,34738,,1,"$20,578,909 ",3/3/2021,,,,
13,The Simple Minded Murderer,Drama,"Scanian, Swedish",Movie,7.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Hans Alfredson,"Stellan Skarsgård, Hans Alfredson, Per Myrberg, Maria Johansson",7.6,92,2870,7,2,,3/3/2021,,,,
